E,pt,eta,phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382537,240796,-1.03377,-0.00121389;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289913,282072,0.0899163,-0.00223548;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423341,357833,-0.533372,-0.00245418;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499564,472512,0.249849,-0.0034503;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460300,447882,0.230778,-0.00445464;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617794,588788,0.188297,0.00447334;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331802,320248,0.217035,0.00526285;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456310,430449,-0.340497,-0.00578942;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674495,451547,-0.949884,-0.00596204;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554922,478828,-0.489009,0.00689133;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12E+06,663448,1.11649,0.00694893;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414113,241874,-1.12047,-0.00719143;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404085,394936,-0.133199,0.00775759;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870082,850235,0.187801,0.0079425;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.16E+06,952687,0.630465,-0.00930559;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352959,335040,-0.320505,0.00968367;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417046,399706,0.253181,-0.00974672;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02E+06,1.01E+06,-0.0861407,-0.0103756;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768090,758774,0.0907571,-0.0104898;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898981,865706,-0.264492,0.0108378;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706302,698479,0.135057,0.010852;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05E+06,577855,1.19656,0.0108991;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.80E+06,1.52E+06,-0.594757,0.0112247;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372463,360531,0.190889,-0.0114971;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876347,797478,-0.417087,0.0127211;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734030,341126,-1.39167,-0.0132053;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863870,214937,2.06743,0.0132762;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534691,394177,-0.817418,-0.0136967;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996440,951499,0.222663,0.0144178;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.17E+06,753123,1.71833,0.0147383;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.28E+06,798833,1.04471,0.0149818;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390767,374598,-0.273243,0.016066;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670197,664669,0.10134,0.0160663;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712315,676372,0.302346,0.0164044;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310239,302867,-0.122967,0.0165903;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504251,318140,1.02683,0.0171039;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553831,439863,0.682052,0.018486;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511298,428163,-0.605165,-0.0192292;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694152,674336,-0.138721,0.0201022;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585839,580951,0.053706,0.0205435;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931003,902120,0.250238,-0.0206523;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828352,812926,-0.139316,0.0210993;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764170,739096,-0.245307,-0.0215035;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312937,290573,0.382241,-0.0219884;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.27E+06,985153,-0.745495,-0.0221537;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851233,501572,1.10922,-0.0232109;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616643,615194,0.0273263,0.0236937;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.32E+06,721240,-1.20803,-0.0245899;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803890,790986,-0.00514266,0.0253712;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678088,597182,0.513009,-0.025438;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901571,504113,-1.18398,0.0261591;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779453,452541,1.12774,-0.0284435;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980303,597991,-1.06899,-0.0285101;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385258,383660,-0.0767639,0.0287552;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+06,957261,0.33749,0.0290931;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04E+06,446106,-1.48964,0.0294144;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855383,844716,0.14926,0.0298173;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424841,247486,1.12255,0.0298547;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25E+06,633589,-1.30112,-0.0301448;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875182,679642,0.727877,0.0303124;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.50E+06,576917,1.6096,0.0304621;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618785,601249,-0.153047,-0.0314629;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957696,481208,1.3077,-0.033069;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00E+06,300636,-1.87444,-0.0335078;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.50E+06,1.37E+06,0.424084,0.0337965;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520805,433425,0.621256,0.0339394;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604946,601833,0.0914964,-0.0343648;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.24E+06,1.18E+06,-0.314517,-0.0344506;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697971,170893,-2.08361,-0.0344761;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783304,727956,0.385784,0.0345452;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531341,498911,-0.268805,0.0359294;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648253,591707,-0.418372,-0.0360708;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
